form,pos,animacy
Donnerstag,noun,inanimate
Freitag,noun,inanimate
Samstag,noun,inanimate
Sonntag,noun,inanimate
Acker,noun,inanimate
Bauch,noun,inanimate
Magen,noun,inanimate
Rumpf,noun,inanimate
Person,noun,human
Gesinde,noun,human
Mutterbrust,noun,inanimate
Klarheit,noun,inanimate
Seuche,noun,inanimate
Duft,noun,inanimate
Kampf,noun,inanimate
König,noun,"inanimate, human"
Wunder,noun,inanimate
Gewand,noun,inanimate
Wesen,noun,"animate, inanimate"
Menschen,noun,human
Werk,noun,inanimate
Gleichheit,noun,inanimate
Ebenbild,noun,inanimate
Weg,noun,inanimate
Bürgersteig,noun,inanimate
Steig,noun,inanimate
Leute,noun,human
Volk,noun,"animate, human"
Mantel,noun,inanimate
Föhrenwald,noun,"animate, inanimate"
Föhre,noun,"animate, inanimate"
Seele,noun,"animate, inanimate, human"
Wirken,noun,inanimate
Geist,noun,"animate, inanimate"
Erkenntnis,noun,inanimate
Erkennen,noun,inanimate
Geliebte,noun,human
Liebe,noun,"animate, inanimate, human"
Herr,noun,"animate, human"
Geistlicher,noun,human
