


file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s927_0	bringan	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_11277	DAT>ACC	_	N^A	_	NR^D	main		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s934_0	singan	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_11376	DAT>ACC	_	N^A	_	NR^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s934_0	singan	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_11376	ACC>DAT	_	N^A	_	NR^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s940_0	bringe	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_11506	DAT>ACC	_	N^A	_	NR^D	main		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s947_0	arefnan	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_11635	ACC>DAT	_	N^A	_	N^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s973_0	nemde	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_11903	ACC>DAT	_	N^A	_	N^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s1302_0	geleana+d	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_15626	ACC>DAT	_	N^A	_	N^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s1405_0	cy+tan	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_17042	ACC>DAT	_	N^A	_	N^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s1419_0	agyldan	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_17251	DAT>ACC	_	N^A	_	NR^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s1519_0	secgan	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_18417	ACC>DAT	_	N^A	_	N^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s1522_0	gestreonde	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_18533	ACC>DAT	_	N^A	_	NR^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s1529_0	gesetton	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_18621	DAT>ACC	_	N^A	_	N^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s1538_0	secgean	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_18764	DAT>ACC	_	N^A	_	N^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s1545_0	secgan	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_18886	DAT>ACC	_	N^A	_	NR^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s2119_0	ageaf	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_25504	DAT>ACC	_	N^A	_	N^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s2221_0	heht	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_26651	DAT>ACC	_	NUM^A	_	N^D	main		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s2229_0	bef+astan	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_26746	DAT>ACC	_	N^A	_	N^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s2324_0	eowode	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_27704	DAT>ACC	_	N^A	_	N^D	main		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s2382_0	l+ardon	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_28419	DAT>ACC	_	N^A	_	N^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s2507_0	befeng	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_29741	ACC>DAT	_	N^A	_	N^D	main		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s2630_0	+ateowde	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_31324	DAT>ACC	_	N^A	_	N^D	main		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s2736_0	syllan	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_32673	DAT>ACC	_	N^A	_	N^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s2782_0	s+agde	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_33173	DAT>ACC	_	N^A	_	NR^D	dep		xx	x		OE
file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#s2867_0	geald	file:///home/chiarcos/Desktop/github/germhist/YCOE/2462/ycoe/psd/coblick.o23.psd#bPARSE_34132	DAT>ACC	_	N^A	_	NEG+Q^D	dep		xx	x		OE

