file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1579e-shir.psd#s272_0	gloybn	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1579e-shir.psd#bPARSE_2835	DAT>ACC	_	PRO	_	PRO	dep		16	2	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1579e-shir.psd#s37_0	gab	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1579e-shir.psd#bPARSE_340	DAT>ACC	den	N	_	PRO	main		16	2	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1620e-lev-tov-1-preface.psd#s64_0	gebn	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1620e-lev-tov-1-preface.psd#bPARSE_741	DAT>ACC	eyn	N	dem	N	main		17	1	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1723w-simkhes.psd#s14_0	gelernt	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1723w-simkhes.psd#bPARSE_86	DAT>ACC	_	N	_	PRO	main		18	1	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1712e-sarah.psd#s36_0	gvezn	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1712e-sarah.psd#bPARSE_363	DAT>ACC	di	N	_	PRO	main		18	1	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1932e-shtif.psd#s130_0	gitan	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1932e-shtif.psd#bPARSE_1457	DAT>ACC	_	N	_	PRO	main		20	1	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1818e-geografie.psd#s9_0	veyzin	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1818e-geografie.psd#bPARSE_98	DAT>ACC	_	N	_	PRO	main		19	1	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1818e-geografie.psd#s9_0	shreybin	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1818e-geografie.psd#bPARSE_101	DAT>ACC	_	N	_	PRO	main		19	1	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1590e-sam-hayyim.psd#s5_0	shikt	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1590e-sam-hayyim.psd#bPARSE_22	ACC>DAT	_	PRO	den	N	main		16	2	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1928e-weinreich-messiah.psd#s83_0	git	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1928e-weinreich-messiah.psd#bPARSE_1030	DAT>ACC	a	N	_	PRO	main		20	1	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd#s116_0	fr_bitin	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd#bPARSE_951	DAT>ACC	_	PRO	_	PRO	main		16	2	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd#s118_0	dingin	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd#bPARSE_962	ACC>DAT	dz	N	_	PRO	dep		16	2	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd#s106_0	bifelt@	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd#bPARSE_865	ACC>DAT	_	PRO	_	N	main		16	2	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd#s89_0	gebin	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd#bPARSE_715	DAT>ACC	daz	N	_	PRO	main		16	2	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd#s114_0	fr_botin	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd#bPARSE_925	DAT>ACC	_	PRO	_	PRO	main		16	2	P	YID
file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd#s44_0	gebin	file:///home/christian/Desktop/github/germhist/ppchy/orig/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd#bPARSE_345	DAT>ACC	_	N	_	PRO	main		16	2	P	YID
